adder_n10	1.244307775322392
adder_n4	0.2059623050325245
basis_change_n3	0.10521154163402195
basis_trotter_n4	1.5651809671840797
cat_state_n4	0.09194606102784894
deutsch_n2	0.027418015064856825
dnn_n2	0.03338265965271653
dnn_n8	0.6788213271060979
error_correctiond3_n5	0.42755875264137116
fredkin_n3	0.1539809402055227
grover_n2	0.07470970157152522
hhl_n7	2.252929405083753
hs4_n4	0.10690071958222644
ising_n10	0.38545754102033947
iswap_n2	0.05970707176007872
linearsolver_n3	0.035691909056471766
lpn_n5	0.10350401926093235
pea_n5	0.5018751929708645
qaoa_n6	0.031766089113554274
qec_en_n5	0.17749105379714863
qft_n4	0.001905504002483658
qpe_n9	0.1748840506434845
qrng_n4	0.0006053213227583693
quantumwalks_n2	0.03311254821460504
shor_n5	0.007812973083017895
simon_n6	0.14032653473723228
teleportation_n3	0.004141447957698288
toffoli_n3	0.1282158680532407
variational_n4	0.1724100770704667
wstate_n3	0.10719618611168036
