============================= test session starts ==============================
platform linux -- Python 3.10.6, pytest-7.2.0, pluggy-1.0.0
rootdir: /root/projects/qcs
collected 10 items / 9 deselected / 1 selected

tst/qdao/engine.py 
::::::::::::::::::Config::::::::::::::::::

NQ::	29
NP::	23
NL::	21
D::	26

::::::::::::::::::Config::::::::::::::::::


:::Reusing existing bench:::::/root/projects/qcs/qdao/benchmarks/qasm/random_29_26_max_operands_2_gen.qasm::::::::

Partial simulation consumes time: 0.9112269878387451
Partial simulation consumes time: 0.835900068283081
Partial simulation consumes time: 0.847322940826416
Partial simulation consumes time: 0.8973667621612549
Partial simulation consumes time: 0.8445956707000732
Partial simulation consumes time: 0.9185504913330078
Partial simulation consumes time: 0.8540675640106201
Partial simulation consumes time: 0.9531950950622559
Partial simulation consumes time: 1.009779930114746
Partial simulation consumes time: 1.0168704986572266
Partial simulation consumes time: 1.0662753582000732
Partial simulation consumes time: 1.0832977294921875
Partial simulation consumes time: 1.0258753299713135
Partial simulation consumes time: 1.0224039554595947
Partial simulation consumes time: 1.0927021503448486
Partial simulation consumes time: 1.0697455406188965
Partial simulation consumes time: 1.0048749446868896
Partial simulation consumes time: 1.0167133808135986
Partial simulation consumes time: 1.000779151916504
Partial simulation consumes time: 1.0735533237457275
Partial simulation consumes time: 1.0014727115631104
Partial simulation consumes time: 1.0609405040740967
Partial simulation consumes time: 1.014850378036499
Partial simulation consumes time: 0.9887509346008301
Partial simulation consumes time: 1.0146636962890625
Partial simulation consumes time: 0.855236291885376
Partial simulation consumes time: 0.8718175888061523
Partial simulation consumes time: 0.8718874454498291
Partial simulation consumes time: 0.9391860961914062
Partial simulation consumes time: 0.8490643501281738
Partial simulation consumes time: 0.8517987728118896
Partial simulation consumes time: 0.8479294776916504
Partial simulation consumes time: 0.8461949825286865
Partial simulation consumes time: 0.9047641754150391
Partial simulation consumes time: 0.860846996307373
Partial simulation consumes time: 0.8508908748626709
Partial simulation consumes time: 0.9066698551177979
Partial simulation consumes time: 0.8559446334838867
Partial simulation consumes time: 0.966510534286499
Partial simulation consumes time: 0.9808681011199951
Partial simulation consumes time: 0.9233214855194092
Partial simulation consumes time: 1.0150055885314941
Partial simulation consumes time: 1.010366678237915
Partial simulation consumes time: 1.0088653564453125
Partial simulation consumes time: 1.0533790588378906
Partial simulation consumes time: 1.000459909439087
Partial simulation consumes time: 1.0094258785247803
Partial simulation consumes time: 1.0129854679107666
Partial simulation consumes time: 1.0961802005767822
Partial simulation consumes time: 1.0568249225616455
Partial simulation consumes time: 1.005660057067871
Partial simulation consumes time: 0.9594631195068359
Partial simulation consumes time: 0.8646671772003174
Partial simulation consumes time: 1.0126278400421143
Partial simulation consumes time: 1.0426161289215088
Partial simulation consumes time: 1.0064985752105713
Partial simulation consumes time: 1.0155320167541504
Partial simulation consumes time: 1.0027382373809814
Partial simulation consumes time: 1.0459489822387695
Partial simulation consumes time: 1.021334171295166
Partial simulation consumes time: 1.0781605243682861
Partial simulation consumes time: 0.9441251754760742
Partial simulation consumes time: 0.8718714714050293
Partial simulation consumes time: 0.9421014785766602
Partial simulation consumes time: 0.24428415298461914
Partial simulation consumes time: 0.24050235748291016
Partial simulation consumes time: 0.24231171607971191
Partial simulation consumes time: 0.23845291137695312
Partial simulation consumes time: 0.24337434768676758
Partial simulation consumes time: 0.24209380149841309
Partial simulation consumes time: 0.2422933578491211
Partial simulation consumes time: 0.24491429328918457
Partial simulation consumes time: 0.24755215644836426
Partial simulation consumes time: 0.24405956268310547
Partial simulation consumes time: 0.24322199821472168
Partial simulation consumes time: 0.24906539916992188
Partial simulation consumes time: 0.2455143928527832
Partial simulation consumes time: 0.22318291664123535
Partial simulation consumes time: 0.2234334945678711
Partial simulation consumes time: 0.2219371795654297
Partial simulation consumes time: 0.22140264511108398
Partial simulation consumes time: 0.22248005867004395
Partial simulation consumes time: 0.22872161865234375
Partial simulation consumes time: 0.22211098670959473
Partial simulation consumes time: 0.23065972328186035
Partial simulation consumes time: 0.22587800025939941
Partial simulation consumes time: 0.2236020565032959
Partial simulation consumes time: 0.23083901405334473
Partial simulation consumes time: 0.22770190238952637
Partial simulation consumes time: 0.22187280654907227
Partial simulation consumes time: 0.21882843971252441
Partial simulation consumes time: 0.21929311752319336
Partial simulation consumes time: 0.24138498306274414
Partial simulation consumes time: 0.2161574363708496
Partial simulation consumes time: 0.22813153266906738
Partial simulation consumes time: 0.22302556037902832
Partial simulation consumes time: 0.23458099365234375
Partial simulation consumes time: 0.22830867767333984
Partial simulation consumes time: 0.2350776195526123
Partial simulation consumes time: 0.23210883140563965
Partial simulation consumes time: 0.22617197036743164
Partial simulation consumes time: 0.22054624557495117
Partial simulation consumes time: 0.22761964797973633
Partial simulation consumes time: 0.22426199913024902
Partial simulation consumes time: 0.2297816276550293
Partial simulation consumes time: 0.23133563995361328
Partial simulation consumes time: 0.23191237449645996
Partial simulation consumes time: 0.2306985855102539
Partial simulation consumes time: 0.2262115478515625
Partial simulation consumes time: 0.21740198135375977
Partial simulation consumes time: 0.2189648151397705
Partial simulation consumes time: 0.22961902618408203
Partial simulation consumes time: 0.2274003028869629
Partial simulation consumes time: 0.230879545211792
Partial simulation consumes time: 0.23216509819030762
Partial simulation consumes time: 0.23493051528930664
Partial simulation consumes time: 0.23315715789794922
Partial simulation consumes time: 0.227522611618042
Partial simulation consumes time: 0.2206273078918457
Partial simulation consumes time: 0.22495484352111816
Partial simulation consumes time: 0.22433686256408691
Partial simulation consumes time: 0.23041749000549316
Partial simulation consumes time: 0.22635197639465332
Partial simulation consumes time: 0.22265911102294922
Partial simulation consumes time: 0.2302875518798828
Partial simulation consumes time: 0.2297961711883545
Partial simulation consumes time: 0.2254650592803955
Partial simulation consumes time: 0.22165846824645996
Partial simulation consumes time: 0.3439192771911621
Partial simulation consumes time: 0.3666985034942627
Partial simulation consumes time: 0.3410041332244873
Partial simulation consumes time: 0.3370239734649658
Partial simulation consumes time: 0.34366869926452637
Partial simulation consumes time: 0.3450016975402832
Partial simulation consumes time: 0.34411025047302246
Partial simulation consumes time: 0.33400392532348633
Partial simulation consumes time: 0.35592174530029297
Partial simulation consumes time: 0.3600771427154541
Partial simulation consumes time: 0.3336796760559082
Partial simulation consumes time: 0.3390364646911621
Partial simulation consumes time: 0.35041308403015137
Partial simulation consumes time: 0.3551008701324463
Partial simulation consumes time: 0.3608260154724121
Partial simulation consumes time: 0.3339657783508301
Partial simulation consumes time: 0.314908504486084
Partial simulation consumes time: 0.33053040504455566
Partial simulation consumes time: 0.3302426338195801
Partial simulation consumes time: 0.33112573623657227
Partial simulation consumes time: 0.3269679546356201
Partial simulation consumes time: 0.31165075302124023
Partial simulation consumes time: 0.31302857398986816
Partial simulation consumes time: 0.3279123306274414
Partial simulation consumes time: 0.3475797176361084
Partial simulation consumes time: 0.3358917236328125
Partial simulation consumes time: 0.3111846446990967
Partial simulation consumes time: 0.35519981384277344
Partial simulation consumes time: 0.34040069580078125
Partial simulation consumes time: 0.31838130950927734
Partial simulation consumes time: 0.31285524368286133
Partial simulation consumes time: 0.3286576271057129
Partial simulation consumes time: 0.3237631320953369
Partial simulation consumes time: 0.3143928050994873
Partial simulation consumes time: 0.313720703125
Partial simulation consumes time: 0.3204381465911865
Partial simulation consumes time: 0.31899476051330566
Partial simulation consumes time: 0.32407498359680176
Partial simulation consumes time: 0.33315396308898926
Partial simulation consumes time: 0.32573938369750977
Partial simulation consumes time: 0.33724069595336914
Partial simulation consumes time: 0.3148188591003418
Partial simulation consumes time: 0.3162529468536377
Partial simulation consumes time: 0.330211877822876
Partial simulation consumes time: 0.33667635917663574
Partial simulation consumes time: 0.32836079597473145
Partial simulation consumes time: 0.32938194274902344
Partial simulation consumes time: 0.3489806652069092
Partial simulation consumes time: 0.3631904125213623
Partial simulation consumes time: 0.3181436061859131
Partial simulation consumes time: 0.3152930736541748
Partial simulation consumes time: 0.3125591278076172
Partial simulation consumes time: 0.31284046173095703
Partial simulation consumes time: 0.31941747665405273
Partial simulation consumes time: 0.3359363079071045
Partial simulation consumes time: 0.3193392753601074
Partial simulation consumes time: 0.3148341178894043
Partial simulation consumes time: 0.34128594398498535
Partial simulation consumes time: 0.3199586868286133
Partial simulation consumes time: 0.32047438621520996
Partial simulation consumes time: 0.310901403427124
Partial simulation consumes time: 0.335186243057251
Partial simulation consumes time: 0.34148216247558594
Partial simulation consumes time: 0.32555627822875977
Partial simulation consumes time: 0.16757845878601074
Partial simulation consumes time: 0.1668381690979004
Partial simulation consumes time: 0.16412830352783203
Partial simulation consumes time: 0.16639304161071777
Partial simulation consumes time: 0.16721773147583008
Partial simulation consumes time: 0.16372895240783691
Partial simulation consumes time: 0.16857457160949707
Partial simulation consumes time: 0.17493867874145508
Partial simulation consumes time: 0.17634057998657227
Partial simulation consumes time: 0.16110491752624512
Partial simulation consumes time: 0.16460967063903809
Partial simulation consumes time: 0.1658802032470703
Partial simulation consumes time: 0.16131925582885742
Partial simulation consumes time: 0.16371440887451172
Partial simulation consumes time: 0.24306964874267578
Partial simulation consumes time: 0.16785621643066406
Partial simulation consumes time: 0.16971850395202637
Partial simulation consumes time: 0.1774146556854248
Partial simulation consumes time: 0.16773438453674316
Partial simulation consumes time: 0.16673684120178223
Partial simulation consumes time: 0.23006939888000488
Partial simulation consumes time: 0.23968839645385742
Partial simulation consumes time: 0.16397571563720703
Partial simulation consumes time: 0.16628122329711914
Partial simulation consumes time: 0.1643047332763672
Partial simulation consumes time: 0.17678284645080566
Partial simulation consumes time: 0.16192054748535156
Partial simulation consumes time: 0.1660597324371338
Partial simulation consumes time: 0.24240446090698242
Partial simulation consumes time: 0.16733050346374512
Partial simulation consumes time: 0.16813135147094727
Partial simulation consumes time: 0.16614508628845215
Partial simulation consumes time: 0.179642915725708
Partial simulation consumes time: 0.16380596160888672
